Income_Category,Card_Category,Education_Level,Customer_Age,Dependent_count,Attrition,Credit_Limit,CLIENT_ID,Gender,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Marital_Status,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
$60K - $80K,Blue,High School,45,3,Existing Customer,12691,768805383,M,39,5,1,3,Married,777,11914,1.335,1144,42,1.625,0.061,9.34E-05,0.99991
Less than $40K,Blue,Graduate,49,5,Existing Customer,8256,818770008,F,44,6,1,2,Single,864,7392,1.541,1291,33,3.714,0.105,5.69E-05,0.99994
$80K - $120K,Blue,Graduate,51,3,Existing Customer,3418,713982108,M,36,4,1,0,Married,0,3418,2.594,1887,20,2.333,0,2.11E-05,0.99998
Less than $40K,Blue,High School,40,4,Existing Customer,3313,769911858,F,34,3,4,1,Unknown,2517,796,1.405,1171,20,2.333,0.76,0.00013366,0.99987
$60K - $80K,Blue,Uneducated,40,3,Existing Customer,4716,709106358,M,21,5,1,0,Married,0,4716,2.175,816,28,2.5,0,2.17E-05,0.99998
$40K - $60K,Blue,Graduate,44,2,Existing Customer,4010,713061558,M,36,3,1,2,Married,1247,2763,1.376,1088,24,0.846,0.311,5.51E-05,0.99994
$120K +,Gold,Unknown,51,4,Existing Customer,34516,810347208,M,46,6,1,3,Married,2264,32252,1.975,1330,31,0.722,0.066,0.00012303,0.99988
$60K - $80K,Silver,High School,32,0,Existing Customer,29081,818906208,M,27,2,2,2,Unknown,1396,27685,2.204,1538,36,0.714,0.048,8.58E-05,0.99991
$60K - $80K,Blue,Uneducated,37,3,Existing Customer,22352,710930508,M,36,5,2,0,Single,2517,19835,3.355,1350,24,1.182,0.113,4.48E-05,0.99996
$80K - $120K,Blue,Graduate,48,2,Existing Customer,11656,719661558,M,36,6,3,3,Single,1677,9979,1.524,1441,32,0.882,0.144,0.00030251,0.9997
